index,categorie_hdv,category_philo_y,category_educ_y,category_body,category_gen
0,3,3,4,5,3
1,5,4,1,4,2
2,3,1,3,5,1
3,1,5,4,5,3
4,3,1,0,3,1
5,0,1,0,5,0
6,3,1,5,3,1
7,3,1,0,0,1
8,2,4,5,2,2
9,3,1,1,3,1
10,2,1,5,4,2
11,0,3,0,5,0
12,0,1,5,2,2
13,3,4,0,5,0
14,3,1,0,0,1
15,3,1,1,3,1
16,3,1,3,3,1
17,0,0,0,0,0
18,1,1,0,5,0
19,3,4,3,1,1
20,0,1,0,5,0
21,3,3,4,1,3
22,3,3,0,3,0
23,4,1,0,5,0
24,2,0,0,5,0
25,3,0,0,3,0
26,2,5,4,1,3
27,3,5,4,5,3
28,3,1,3,1,1
29,0,1,0,3,0
30,2,1,0,0,0
31,3,1,0,1,1
32,0,1,1,4,2
33,1,5,4,0,3
34,2,3,0,5,0
35,0,1,5,1,2
36,2,4,0,1,0
37,3,0,0,3,0
38,0,1,5,0,2
39,0,1,1,1,2
40,0,1,3,5,2
41,0,1,1,1,2
42,0,1,3,5,2
43,3,4,1,1,1
44,3,0,3,0,1
45,0,3,0,5,0
46,0,1,3,1,2
47,0,1,5,5,2
48,0,1,0,5,0
49,3,1,0,3,1
50,0,1,0,3,0
51,3,1,1,3,1
52,3,0,0,5,0
53,3,1,1,3,1
54,3,1,0,3,1
55,3,0,0,1,0
56,0,1,4,1,2
57,2,5,4,5,3
58,3,5,4,1,3
59,2,3,5,5,2
60,0,1,0,3,0
61,1,1,1,5,2
62,2,4,3,5,2
63,1,0,3,0,2
64,0,1,0,1,0
65,1,4,0,3,0
66,0,5,4,3,3
67,3,0,4,5,3
68,3,1,5,5,1
69,3,3,3,5,1
70,0,1,0,2,0
71,3,0,0,1,0
72,3,3,1,1,1
73,0,4,0,0,0
74,3,1,3,1,1
75,1,1,5,0,2
76,3,1,5,1,1
77,3,0,0,0,0
78,0,4,1,0,2
79,3,5,4,1,3
80,0,1,3,5,2
81,3,1,3,5,1
82,3,1,3,3,1
83,3,0,0,0,0
84,3,1,0,1,1
85,0,4,5,5,2
86,3,1,1,3,1
87,0,0,0,0,0
88,0,1,1,4,2
89,3,1,1,4,1
90,2,1,0,5,0
91,0,1,0,2,0
92,0,0,0,0,0
93,1,1,0,3,0
94,3,3,0,3,0
95,3,1,0,1,1
96,5,1,1,5,2
97,0,1,1,3,2
98,3,1,3,0,1
99,0,2,2,4,4
100,0,1,3,5,2
101,0,1,0,3,0
102,0,3,1,3,2
103,5,4,1,3,2
104,3,1,3,5,1
105,3,1,3,3,1
106,3,2,2,3,4
107,3,5,4,1,3
108,3,1,0,2,1
109,0,3,0,3,0
110,0,1,3,4,2
111,3,1,0,1,1
112,0,1,5,1,2
113,2,5,4,0,3
114,3,1,1,3,1
115,2,1,5,5,2
116,0,5,5,2,2
117,3,2,2,3,4
118,1,5,5,0,3
119,3,1,4,5,1
120,3,3,0,5,0
121,0,2,2,1,4
122,2,5,4,3,3
123,2,5,4,5,3
124,0,1,0,0,0
125,3,4,0,3,0
126,0,1,1,4,2
127,3,4,0,3,0
128,2,1,0,5,0
129,0,1,0,0,0
130,2,1,5,2,2
131,1,0,5,0,2
132,1,0,3,0,2
133,3,1,3,4,1
134,3,3,4,1,3
135,0,1,0,1,0
136,4,1,5,5,2
137,3,2,2,4,4
138,0,1,0,5,0
139,0,5,4,1,3
140,0,1,0,3,0
141,3,2,2,3,4
142,3,0,1,1,1
143,0,3,5,1,2
144,0,1,3,3,2
145,3,4,0,5,0
146,2,1,5,5,2
147,0,2,2,3,4
148,3,4,4,3,1
149,3,0,1,3,1
150,1,2,2,4,4
151,3,2,2,2,4
152,3,2,2,4,4
153,2,0,5,5,2
154,3,1,0,1,1
155,0,0,0,0,0
156,0,3,1,2,2
157,1,3,0,5,0
158,3,2,2,4,4
159,3,5,4,3,3
160,3,2,2,4,4
161,3,1,3,0,1
162,0,1,0,2,0
163,0,0,1,3,2
164,0,5,4,5,3
165,0,1,5,2,2
166,0,1,3,1,2
167,3,0,0,0,0
168,3,1,0,3,1
169,3,1,5,5,1
170,0,5,4,0,3
171,5,1,5,3,2
172,3,2,2,3,4
173,3,1,3,3,1
174,2,5,4,0,3
175,0,2,2,3,4
176,3,4,0,1,0
177,2,3,0,5,0
178,1,0,1,4,2
179,2,3,0,5,0
180,3,4,0,3,0
181,3,5,4,3,3
182,3,0,0,0,0
183,0,1,1,1,2
184,0,1,0,5,0
185,0,2,2,3,4
186,0,2,2,3,4
187,0,1,3,3,2
188,3,0,0,1,0
189,3,3,1,1,1
190,1,4,0,0,0
191,3,1,0,5,1
192,2,0,0,5,0
193,1,1,0,2,0
194,3,1,1,1,1
195,0,3,3,0,2
196,2,1,3,1,2
197,0,1,1,3,2
198,0,3,5,2,2
199,3,5,4,0,3
200,0,1,0,3,0
201,3,1,0,3,1
202,3,1,0,3,1
203,2,3,4,3,3
204,0,1,5,5,2
205,3,4,1,0,1
206,3,1,5,5,1
207,3,4,0,3,0
208,0,4,3,3,2
209,3,0,5,5,1
210,3,2,2,4,4
211,3,1,0,5,1
212,0,1,1,4,2
213,0,2,2,4,4
214,1,1,0,0,0
215,0,3,1,4,2
216,3,1,0,1,1
217,3,4,3,4,1
218,0,0,3,5,2
219,3,1,0,0,1
220,0,5,5,0,2
221,3,4,1,3,1
222,3,1,0,1,1
223,3,3,1,3,1
224,2,5,4,0,3
225,3,4,5,5,1
226,2,1,5,1,2
227,3,1,3,1,1
228,3,1,0,0,1
229,0,2,2,3,4
230,0,1,5,2,2
231,3,2,2,4,4
232,0,2,2,3,4
233,3,2,2,3,4
234,3,1,0,5,1
235,0,0,5,0,2
236,2,2,2,3,4
237,0,1,5,5,2
238,1,5,4,0,3
239,3,5,4,5,3
240,5,4,1,4,2
241,0,2,2,2,4
242,3,3,0,5,0
243,5,1,0,1,0
244,3,0,0,3,0
245,0,3,2,4,4
246,3,0,4,1,3
247,3,1,1,4,1
248,0,1,1,4,2
249,2,4,1,0,2
250,3,0,5,5,1
251,2,1,1,5,2
252,3,0,3,3,1
253,2,0,5,0,2
254,3,1,1,3,1
255,3,2,2,3,4
256,0,5,5,5,2
257,0,2,2,4,4
258,3,1,5,0,1
259,0,2,2,4,4
260,3,2,2,4,4
261,0,1,1,4,2
262,3,4,3,0,1
263,3,2,2,4,4
264,2,1,1,3,2
265,3,4,0,3,0
266,5,3,2,4,4
267,1,1,3,3,2
268,0,1,5,0,2
269,3,1,5,2,1
270,3,1,0,1,1
271,3,0,0,2,0
272,3,2,2,4,4
273,0,1,0,0,0
274,0,1,0,3,0
275,3,1,1,4,1
276,0,1,5,2,2
277,3,1,1,3,1
278,3,4,1,3,1
279,0,1,5,1,2
280,0,1,0,1,0
281,5,2,2,4,4
282,3,1,1,1,1
283,3,2,2,4,4
284,3,0,5,0,1
285,3,2,2,4,4
286,3,0,5,2,1
287,1,2,2,4,4
288,3,1,5,0,1
289,0,5,5,1,2
290,5,3,0,1,0
291,0,1,0,1,0
292,1,1,0,1,0
293,3,1,1,3,1
294,3,1,5,1,1
295,0,2,2,4,4
296,0,2,2,3,4
297,0,1,3,1,2
298,1,2,2,4,4
299,3,1,1,0,1
300,3,2,2,1,4
301,2,1,1,0,2
302,3,0,1,3,1
303,3,1,0,3,1
304,3,4,0,1,0
305,0,1,3,1,2
306,0,3,0,0,0
307,3,1,1,3,1
308,5,0,1,5,2
309,3,1,3,3,1
310,3,2,2,4,4
311,0,1,0,2,0
312,3,1,0,3,1
313,1,0,0,0,0
314,0,2,2,3,4
315,3,4,1,5,1
316,3,2,2,1,4
317,1,0,5,0,2
318,3,2,2,4,4
319,3,1,1,4,1
320,3,2,2,4,4
321,1,0,1,1,2
322,1,3,4,5,3
323,3,2,2,4,4
324,3,2,2,3,4
325,0,1,3,3,2
326,1,1,0,1,0
327,3,4,1,0,1
328,3,2,2,4,4
329,0,2,2,3,4
330,0,2,2,4,4
331,3,1,1,2,1
332,2,5,5,1,3
333,3,3,4,1,3
334,3,4,3,2,1
335,2,2,2,4,4
336,0,5,4,2,3
337,3,4,1,3,1
338,3,3,3,3,1
339,3,0,3,5,1
340,1,1,0,1,0
341,3,1,3,1,1
342,0,4,3,2,2
343,3,4,0,3,0
344,3,5,4,5,3
345,2,3,1,1,2
346,0,1,5,3,2
347,3,5,4,5,3
348,0,2,2,3,4
349,3,2,2,4,4
350,3,3,1,3,1
351,3,1,0,5,1
352,3,3,1,1,1
353,3,4,4,5,3
354,3,1,1,0,1
355,0,1,5,3,2
356,1,1,0,1,0
357,3,1,1,0,1
358,3,2,2,4,4
359,2,0,0,1,0
360,1,0,5,0,2
361,3,0,0,5,0
362,3,1,3,5,1
